uid,language,utterance,utterance_stripped,begin,end,participant,duration,FTO,overlap,nature,nchar,n,freq,rank,streak
dutch-10-104-132056,dutch,ja,ja,132056,132537,spreker2 [v] (TIE2),481,-22,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-111-138868,dutch,ja,ja,138868,139304,spreker1 [v] (TIE0),436,738,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-123-150521,dutch,ja,ja,150521.00000000003,150812,spreker2 [v] (TIE2),290.9999999999709,-649,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-156-186640,dutch,ja,ja,186640,186897,spreker2 [v] (TIE2),257,-946,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-216-279702,dutch,ja,ja,279702,280049,spreker1 [v] (TIE0),347,268.0000000000582,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-293-394264,dutch,ja,ja,394264,394711,spreker2 [v] (TIE2),447,-223,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-317-419476,dutch,ja,ja,419476,419856,spreker2 [v] (TIE2),380,-481,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-322-427070,dutch,ja,ja,427070,427584,spreker2 [v] (TIE2),514,83,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-10-410-546575,dutch,ja,ja,546575,546950,spreker2 [v] (TIE2),375,143,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-411-547524,dutch,ja,ja,547524,547866,spreker2 [v] (TIE2),342,-121,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-10-431-570706,dutch,ja,ja,570706,571191,spreker2 [v] (TIE2),485,22,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-10-435-574900,dutch,ja,ja,574900,575529,spreker2 [v] (TIE2),629,-12,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-10-437-575860,dutch,ja,ja,575860,576069,spreker2 [v] (TIE2),209,-1843,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-10-549-717976,dutch,ja,ja,717976,718230,spreker2 [v] (TIE2),254,-298,full,talk,2,77862,1.2112289194185375e-5,1,2
